"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#1}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,2,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f722c0",4069895492066331,4069895492167169,4069895494740799,4069895494762348,2573630
1,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,2,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895617124761,4069895617134804,4069895619758834,4069895619781983,2624030
2,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,6,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895619862970,4069895619873715,4069895622433265,4069895622453232,2559550
3,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,6,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895622500914,4069895622509586,4069895625071856,4069895625091937,2562270
4,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,10,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895625140441,4069895625150736,4069895627718926,4069895627741454,2568190
5,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,10,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895627785209,4069895627793275,4069895630364185,4069895630395509,2570910
6,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,14,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895630452610,4069895630463385,4069895633030775,4069895633050095,2567390
7,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,14,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895633104721,4069895633113496,4069895635679766,4069895635704111,2566270
8,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,18,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895635747134,4069895635755607,4069895638327476,4069895638347926,2571869
9,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,18,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895638394176,4069895638402837,4069895640971507,4069895640993455,2568670
